iter	Passed	Remaining
0	2	668
1	5	949
2	9	1021
3	14	1124
4	16	1080
5	22	1173
6	26	1182
7	29	1178
8	34	1187
9	38	1190
10	41	1190
11	45	1181
12	49	1180
13	53	1180
14	59	1220
15	63	1215
16	67	1206
17	70	1200
18	74	1193
19	78	1188
20	80	1154
21	84	1154
22	88	1152
23	92	1146
24	95	1139
25	99	1132
26	102	1124
27	103	1093
28	107	1088
29	111	1088
30	115	1084
31	118	1081
32	122	1078
33	126	1074
34	130	1074
35	134	1073
36	138	1071
37	142	1066
38	145	1061
39	149	1056
40	153	1054
41	156	1049
42	160	1045
43	164	1041
44	167	1035
45	171	1034
46	175	1029
47	179	1026
48	182	1021
49	186	1017
50	189	1012
51	193	1007
52	196	1002
53	200	999
54	204	995
55	207	989
56	211	986
57	215	983
58	219	980
59	222	976
60	226	972
61	229	968
62	233	963
63	237	960
64	240	956
65	244	952
66	248	948
67	252	946
68	256	942
69	259	938
70	263	935
71	267	931
72	271	928
73	275	925
74	279	922
75	282	919
76	286	916
77	290	911
78	293	907
79	297	904
80	301	900
81	305	898
82	309	894
83	312	890
84	317	887
85	321	884
86	325	882
87	328	878
88	332	874
89	336	870
90	340	867
91	343	863
92	347	860
93	351	856
94	355	854
95	359	850
96	363	846
97	367	842
98	370	838
99	374	835
100	378	831
101	381	827
102	385	823
103	389	819
104	393	816
105	396	812
106	400	808
107	404	804
108	407	800
109	411	797
110	415	793
111	419	790
112	422	785
113	426	781
114	429	777
115	433	773
116	436	769
117	440	765
118	444	761
119	448	758
120	451	754
121	455	750
122	459	747
123	462	742
124	466	739
125	470	735
126	474	731
127	477	727
128	481	723
129	484	719
130	488	716
131	492	712
132	495	708
133	499	704
134	502	700
135	506	696
136	509	692
137	513	688
138	517	685
139	519	678
140	522	674
141	526	670
142	529	666
143	533	662
144	536	658
145	540	654
146	543	650
147	547	647
148	550	643
149	554	640
150	558	636
151	561	632
152	565	628
153	569	624
154	572	620
155	576	617
156	580	613
157	584	609
158	587	606
159	591	602
160	594	598
161	598	594
162	601	590
163	605	587
164	609	583
165	613	579
166	616	575
167	619	572
168	621	566
169	625	562
170	628	558
171	632	554
172	635	551
173	639	547
174	642	543
175	646	539
176	649	536
177	653	532
178	657	528
179	661	525
180	664	521
181	668	518
182	672	514
183	675	510
184	679	506
185	683	503
186	686	499
187	690	496
188	694	492
189	698	488
190	702	485
191	705	481
192	709	477
193	712	473
194	716	470
195	721	467
196	724	463
197	728	460
198	732	456
199	736	453
200	740	449
201	744	446
202	748	442
203	753	439
204	757	436
205	761	432
206	765	428
207	769	425
208	773	421
209	777	418
210	780	414
211	784	410
212	788	407
213	791	403
214	795	399
215	799	396
216	803	392
217	807	388
218	810	385
219	815	381
220	818	377
221	822	374
222	826	370
223	830	366
224	834	363
225	837	359
226	841	355
227	845	352
228	849	348
229	853	344
230	856	341
231	860	337
232	863	333
233	867	329
234	871	326
235	875	322
236	878	318
237	882	315
238	886	311
239	890	308
240	894	304
241	898	300
242	902	297
243	905	293
244	909	289
245	913	285
246	917	282
247	920	278
248	924	274
249	927	270
250	931	267
251	935	263
252	939	259
253	942	256
254	946	252
255	950	248
256	954	245
257	958	241
258	961	237
259	965	234
260	969	230
261	973	226
262	977	222
263	980	219
264	985	215
265	989	211
266	993	208
267	996	204
268	1000	200
269	1005	197
270	1009	193
271	1013	189
272	1017	186
273	1020	182
274	1025	178
275	1029	175
276	1033	171
277	1037	167
278	1041	164
279	1045	160
280	1049	156
281	1053	153
282	1060	149
283	1065	146
284	1070	142
285	1074	139
286	1079	135
287	1083	131
288	1088	128
289	1092	124
290	1096	120
291	1100	116
292	1103	113
293	1107	109
294	1113	105
295	1116	101
296	1120	98
297	1124	94
298	1128	90
299	1132	86
300	1135	83
301	1139	79
302	1143	75
303	1146	71
304	1150	67
305	1154	64
306	1158	60
307	1161	56
308	1165	52
309	1169	49
310	1173	45
311	1176	41
312	1180	37
313	1184	33
314	1187	30
315	1191	26
316	1195	22
317	1198	18
318	1202	15
319	1206	11
320	1209	7
321	1213	3
322	1216	0
